# L=256
# Trotter decomposition for beta: order=4 and bstep=0.100000
# Trotter decomposition for time: order=4 and tstep=0.100000

# t ; Re[Cij(t)] ; Im[Cij(t)] ; Re[Szi(t)] ; Im[Szi(t)]
0 0.25 0 -4.1110912765e-11 0
0.1 0.248563058805 -0.00678212058883 -7.87212027231e-11 -8.88176459588e-17
0.2 0.244292735823 -0.0133768522808 -1.86815668123e-10 3.18254357274e-17
0.3 0.237308984616 -0.019603854286 -3.51544227617e-10 -5.22347925222e-17
0.4 0.227806639213 -0.0252965582231 -5.51026297187e-10 7.75914891803e-18
0.5 0.216048030147 -0.03030826234 -7.57011858986e-10 6.79221041439e-17
0.6 0.202353130665 -0.0345173233354 -9.37102802051e-10 -1.47542615109e-17
0.7 0.187087684952 -0.0378312217206 -1.05727065748e-09 1.80231063462e-17
0.8 0.170649856068 -0.0401893362209 -1.08458881834e-09 -3.60815000851e-17
0.9 0.153455988446 -0.0415643299307 -9.89902626439e-10 -4.72589818004e-17
1 0.135926105917 -0.0419621217575 -7.50312495365e-10 -9.99960547085e-18
1.1 0.118469760557 -0.0414204869547 -3.51250071241e-10 -1.4177344251e-17
1.2 0.101472811621 -0.0400063962475 2.11990545735e-10 -8.86198444241e-17
1.3 0.0852856503104 -0.0378122606288 9.3336109849e-10 -4.27791668785e-17
1.4 0.0702132996317 -0.0349512953958 1.79589121606e-09 -5.28270125401e-17
1.5 0.0565077147125 -0.0315522502789 2.77226289041e-09 -1.85486722066e-18
1.6 0.0443624939515 -0.0277537713575 3.826053036e-09 -1.320465689e-17
1.7 0.0339100919413 -0.0236986645493 4.91361252596e-09 -3.82671379518e-17
1.8 0.0252215076555 -0.0195283203855 5.98643342482e-09 1.21439586368e-17
1.9 0.0183083120541 -0.01537753699 6.99382994911e-09 -4.92156912502e-17
2 0.0131267830874 -0.0113699446698 7.88579822083e-09 1.00144995172e-17
2.1 0.00958383724989 -0.00761419388388 8.61578799561e-09 1.69800045542e-18
2.2 0.00754438820111 -0.00420102136463 9.14335709057e-09 1.47659464587e-17
2.3 0.00683972603766 -0.00120125985451 9.43637489341e-09 5.61709158069e-17
2.4 0.00727649582762 0.00133519203912 9.47275331322e-09 -8.9352482015e-17
2.5 0.00864586008621 0.00337946925528 9.24161284755e-09 2.44678534761e-17
2.6 0.010732454863 0.00492297908605 8.74376910805e-09 -5.76564634862e-17
2.7 0.0133227903014 0.00597588336993 7.9915768507e-09 -2.67251590738e-17
2.8 0.0162128004051 0.00656495392331 7.00815798674e-09 1.07192819743e-17
2.9 0.0192143095034 0.00673094827122 5.82608669222e-09 4.84261539815e-17
3 0.0221602507291 0.00652566134667 4.48562239343e-09 -3.76279732055e-17
3.1 0.024908540863 0.00600880904347 3.03262190473e-09 3.30093835168e-17
3.2 0.027344582783 0.00524489242207 1.51628477401e-09 1.44073124448e-17
3.3 0.0293824283524 0.00430017783351 -1.31712560232e-11 -7.71836668421e-17
3.4 0.0309646888402 0.00323990969137 -1.50672984256e-09 1.21577725852e-16
3.5 0.0320613245084 0.0021258508716 -2.91858813006e-09 8.22413538151e-18
3.6 0.0326674794611 0.00101422105411 -4.20789632325e-09 1.47789019528e-16
3.7 0.0328005512637 -4.59206817834e-05 -5.34012960721e-09 -4.20709302978e-18
3.8 0.032496697059 -0.00101382749552 -6.28805580593e-09 1.37866325963e-17
3.9 0.0318069811531 -0.00185775165075 -7.03232707032e-09 -1.26473047995e-18
4 0.0307933611438 -0.00255518693077 -7.56167008221e-09 2.8427693221e-17
4.1 0.0295246960776 -0.00309270483961 -7.87271649406e-09 -3.02442632022e-17
4.2 0.0280729388569 -0.00346543488296 -7.9695426056e-09 -7.56284437948e-17
4.3 0.0265096496692 -0.00367624977188 -7.86296338624e-09 6.1132884612e-17
4.4 0.0249029389612 -0.00373472166642 -7.56962146826e-09 -2.65023672761e-17
4.5 0.0233149184819 -0.00365591808345 -7.11095484741e-09 -1.01813419774e-17
4.6 0.0217997091427 -0.00345910523136 -6.51210860503e-09 2.94876313433e-17
4.7 0.0204020259118 -0.00316642293154 -5.80081369515e-09 -8.16562567876e-17
4.8 0.0191563336629 -0.00280158942818 -5.00629422945e-09 5.68812976785e-18
4.9 0.01808654489 -0.00238868674496 -4.15822886103e-09 -5.69175594729e-17
5 0.0172062108453 -0.00195106846899 -3.28581276038e-09 4.40715308963e-20
5.1 0.0165191423327 -0.00151042222374 -2.41690945373e-09 1.18458432495e-16
5.2 0.0160203854342 -0.00108600936022 -1.57733595972e-09 -1.45717741303e-17
5.3 0.0156974706368 -0.000694094651652 -7.90245152581e-10 -3.5993769327e-17
5.4 0.0155318510185 -0.000347569641163 -7.56676504647e-11 1.07640182318e-16
5.5 0.01550044641 -5.57651216033e-05 5.49870833915e-10 -3.5410309385e-17
5.6 0.0155772143447 0.000175559687616 1.07358803973e-09 8.1892873546e-17
5.7 0.0157346758124 0.000344068773352 1.48658368557e-09 -9.1626069347e-17
5.8 0.0159453336881 0.000450565310494 1.78382542342e-09 -3.89740985802e-17
5.9 0.0161829319717 0.000498597983675 1.96403455312e-09 -2.36915066868e-17
6 0.01642351664 0.000493986234026 2.02944288315e-09 -6.47546356859e-17
6.1 0.0166462713884 0.000444293644097 1.98544278274e-09 7.91282836565e-17
6.2 0.0168341141984 0.000358278068011 1.8401724145e-09 3.33715509779e-17
6.3 0.0169740525054 0.000245345590998 1.60402172212e-09 -3.37541575598e-18
6.4 0.0170573062854 0.000115032559281 1.28913342192e-09 -1.26856411929e-17
