β = 0.10
β = 0.20
β = 0.30
β = 0.40
β = 0.50
0.0 1.000000000000014 + 0.0im
0.1 0.9942522765850055 - 0.027128379552354982im
0.2 0.9771711064659995 - 0.05350721151506234im
0.3 0.9492362971585749 - 0.07841514023100649im
0.4 0.9112271739798674 - 0.10118589871839506im
0.5 0.8641930448286564 - 0.12123268515290817im
0.6 0.8094137858176643 - 0.1380689298428058im
0.7 0.7483523551353346 - 0.15132455647147033im
0.8 0.6826013858031889 - 0.1607570796189125im
0.9 0.6138262367396314 - 0.16625714941284583im
1.0 0.5437069858306078 - 0.16784843746292222im
1.1 0.47388182624148784 - 0.16568203926376182im
1.2 0.4058941828989668 - 0.16002583104619994im
1.3 0.3411456120992956 - 0.15124944933957984im
1.4 0.2808562012840262 - 0.1398057475854469im
1.5 0.2260337704235839 - 0.12620971708739448im
1.6 0.1774527165083759 - 0.1110159350750087im
1.7 0.1356428649132188 - 0.09479561906972517im
1.8 0.10088822167913875 - 0.0781143262943159im
1.9 0.07323508325788408 - 0.06151124578822702im
2.0 0.05250857582964179 - 0.04548089681290698im
2.1 0.0383363804112133 - 0.030457880955132167im
2.2 0.03017816736434187 - 0.01680514628452632im
2.3 0.027359111756208414 - 0.004806026381044047im
2.4 0.029105807656713882 + 0.005339880577631302im
2.5 0.03458291695802419 + 0.013517109665115648im
2.6 0.04292899385621956 + 0.01969128478037853im
2.7 0.05329008606182836 + 0.023903047842456233im
2.8 0.06484993467444355 + 0.026259480503707446im
2.9 0.0768558391206155 + 0.026923607571625003im
3.0 0.08863953197372049 + 0.02610260393981084im
3.1 0.0996326781114163 + 0.02403532902079704im
3.2 0.10937688498953924 + 0.020979783538160424im
3.3 0.11752835427110928 + 0.01720103015786094im
3.4 0.12385752420687306 + 0.012960044570938307im
3.5 0.12824422760259663 + 0.008503877440562701im
3.6 0.1306690324219414 + 0.004057407347425336im
3.7 0.13120152019393067 - 0.00018312873222374302im
3.8 0.12998631118821882 - 0.004054742577676825im
3.9 0.1272276544723179 - 0.007430441253325697im
4.0 0.1231733732428463 - 0.010220198082453143im
4.1 0.11809889725084524 - 0.01237029667962064im
4.2 0.11229203266927161 - 0.013861252703001136im
4.3 0.10603901600118293 - 0.014704554631138775im
4.4 0.099612285931473 - 0.014938488719062167im
4.5 0.09326028786195377 - 0.014623323094872503im
4.6 0.08719950462103859 - 0.013836120607923042im
4.7 0.08160879648240943 - 0.012665439113181593im
4.8 0.07662602421549826 - 0.011206150367763176im
4.9 0.07234684006067527 - 0.009554581599757072im
5.0 0.06882545180623237 - 0.007804146573681762im
5.1 0.06607710598265377 - 0.006041595562864303im
5.2 0.06408199047476634 - 0.0043439740419694076im
5.3 0.06279023100466703 - 0.0027763413470529618im
5.4 0.06212764382848894 - 0.0013902641223725795im
5.5 0.062001912060742695 - 0.0002230657305803516im
5.6 0.06230886917028908 + 0.0007022163657584166im
5.7 0.06293860253311781 + 0.0013762378950505443im
5.8 0.06378112654457303 + 0.001802211257592867im
5.9 0.06473141963289372 + 0.001994330948341928im
6.0 0.06569366768680115 + 0.0019758746271333143im
6.1 0.06658460702976382 + 0.0017770965639163105im
6.2 0.06733591055202082 + 0.0014330282326567164im
6.3 0.06789560876777717 + 0.000981294027225604im
6.4 0.06822858186351581 + 0.0004600394723175197im
