β = 0.00
β = 0.10
β = 0.20
β = 0.30
β = 0.40
β = 0.50
0.0 0.9999999999999754 + 0.0im
0.1 0.9940768013478474 - 0.03278460053885149im
0.2 0.9764756597925475 - 0.06466213919324942im
0.3 0.9476954336537301 - 0.09475980319641364im
0.4 0.9085461779406626 - 0.12227169365068297im
0.5 0.8601181398802152 - 0.1464884080686505im
0.6 0.8037404096065546 - 0.16682221040630166im
0.7 0.7409311453985017 - 0.18282669627634757im
0.8 0.6733416547307745 - 0.1942101545450142im
0.9 0.6026968511008671 - 0.2008421574128564im
1.0 0.5307347117261741 - 0.20275325926081184im
1.1 0.45914733059946133 - 0.2001280293615164im
1.2 0.38952600093128603 - 0.1932919652163461im
1.3 0.32331248402535195 - 0.18269311412730427im
1.4 0.2617582477429888 - 0.16887945621605682im
1.5 0.20589301132190876 - 0.1524732620601865im
1.6 0.15650344186123086 - 0.13414372653808762im
1.7 0.11412233987707278 - 0.1145791961220234im
1.8 0.07902815491731345 - 0.09446025295416219im
1.9 0.05125421291097019 - 0.07443480277651887im
2.0 0.030606636587924 - 0.05509614560119157im
2.1 0.016689616002423132 - 0.03696480069340106im
2.2 0.00893644951614641 - 0.02047462515615548im
2.3 0.006644632383779034 - 0.00596352268786992im
2.4 0.009013220547288679 + 0.006331200091155194im
2.5 0.015180736430350247 + 0.016272995376386726im
2.6 0.02426200205437022 + 0.02382211591266463im
2.7 0.035382469820051235 + 0.02902806011498671im
2.8 0.04770885755320675 + 0.032019065203581006im
2.9 0.060475165340698384 + 0.03298937138282189im
3.0 0.07300344049181483 + 0.032185015698147294im
3.1 0.0847189476019748 + 0.02988890940911726im
3.2 0.09515967867666063 + 0.02640591188323904im
3.3 0.10398039129391773 + 0.022048542999347408im
3.4 0.110951581165684 + 0.017123881690019285im
3.5 0.11595397237604835 + 0.011922087866341708im
3.6 0.11896924008660419 + 0.006706865875015837im
3.7 0.12006776541571973 + 0.001708066748716186im
3.8 0.1193942618042495 - 0.0028834900079106707im
3.9 0.11715210985693615 - 0.0069190013270234935im
4.0 0.11358719842662293 - 0.010292591809158869im
4.1 0.10897199979099743 - 0.012940347911451877im
4.2 0.10359051305610212 - 0.014837730720507526im
4.3 0.0977245995557305 - 0.015995663417887822im
4.4 0.09164211400158068 - 0.016455611990757523im
4.5 0.08558711200532626 - 0.01628398344120623im
4.6 0.07977229414206788 - 0.015566156619560411im
4.7 0.07437373385812768 - 0.014400439192938123im
4.8 0.06952783514808965 - 0.012892212747437317im
4.9 0.06533037890777059 - 0.011148489273045088im
5.0 0.06183744607819604 - 0.009273058892036314im
5.1 0.05906795206107272 - 0.007362363083741503im
5.2 0.05700749050715004 - 0.00550218199157954im
5.3 0.05561316484438035 - 0.003765180522284326im
5.4 0.054819081633724336 - 0.0022093173758101032im
5.5 0.054542189383716154 - 0.0008770850516656894im
5.6 0.05468816786632698 + 0.00020448189002327295im
5.7 0.05515710409801433 + 0.0010231179318961959im
5.8 0.055848729717922596 + 0.001580063441552203im
5.9 0.05666703822839114 + 0.0018883462052987673im
6.0 0.05752414723553784 + 0.001970733178610638im
6.1 0.05834331832596972 + 0.0018574788907912373im
6.2 0.05906109361229343 + 0.0015839926817610207im
6.3 0.059628551520153235 + 0.0011885381122992813im
6.4 0.06001172356212574 + 0.0007100652559836448im
6.5 0.06019124751136308 + 0.00018626082364817331im
6.6 0.060161359528451135 - 0.000348116867086546im
6.7 0.059928347859068476 - 0.0008625703652219558im
6.8 0.05950860339003839 - 0.0013318350578074534im
6.9 0.05892640765351968 - 0.001736482074977977im
7.0 0.05821159713406138 - 0.0020631617559461334im
7.1 0.057397234576365995 - 0.002304513584643361im
7.2 0.0565174042815942 - 0.0024587822672122927im
7.3 0.055605230190799576 - 0.0025291903963221346im
7.4 0.0546911940994451 - 0.002523125605558197im
7.5 0.05380180791188252 - 0.0024512041075832334im
7.6 0.05295866972805609 - 0.002326273050820886im
7.7 0.05217791002820551 - 0.0021624114072953727im
7.8 0.05147001248141981 - 0.0019739834730287944im
7.9 0.05083997500716539 - 0.0017747910083173034im
8.0 0.050287761551560776 - 0.0015773601244860984im
8.1 0.04980898423965768 - 0.001392387875927044im
