β = 0.00
β = 0.10
β = 0.20
β = 0.30
β = 0.40
β = 0.50
0.0 0.9999999999999987 + 0.0im
0.1 0.9940768013478685 - 0.03278460053884555im
0.2 0.976475659792558 - 0.0646621391932532im
0.3 0.9476954336537085 - 0.09475980319640888im
0.4 0.9085461779406435 - 0.12227169365068588im
0.5 0.8601181398802136 - 0.14648840806865668im
0.6 0.8037404096065761 - 0.16682221040630482im
0.7 0.7409311453984891 - 0.18282669627634732im
0.8 0.6733416547307844 - 0.19421015454502194im
0.9 0.6026968511008689 - 0.20084215741285957im
1.0 0.5307347117261627 - 0.20275325926082166im
1.1 0.45914733059944973 - 0.20012802936152482im
1.2 0.3895260009312831 - 0.193291965216361im
1.3 0.32331248402534996 - 0.18269311412731545im
1.4 0.26175824774298123 - 0.16887945621606673im
1.5 0.20589301132189958 - 0.1524732620601943im
1.6 0.15650344186121895 - 0.13414372653809414im
1.7 0.114122339877063 - 0.11457919612202767im
1.8 0.07902815491730503 - 0.09446025295416784im
1.9 0.05125421291095974 - 0.07443480277652187im
2.0 0.030606636587912944 - 0.05509614560119308im
2.1 0.016689616002413043 - 0.0369648006934022im
2.2 0.00893644951613847 - 0.020474625156159335im
2.3 0.0066446323837708625 - 0.00596352268787324im
2.4 0.009013220547280858 + 0.006331200091152184im
2.5 0.015180736430343622 + 0.016272995376383513im
2.6 0.024262002054364917 + 0.02382211591265991im
2.7 0.035382469820044324 + 0.029028060114982233im
2.8 0.04770885755320274 + 0.032019065203573754im
2.9 0.06047516534069464 + 0.03298937138281517im
3.0 0.07300344049181182 + 0.0321850156981412im
3.1 0.08471894760197074 + 0.029888909409108495im
3.2 0.09515967867666027 + 0.02640591188323116im
3.3 0.1039803912939189 + 0.02204854299933995im
3.4 0.11095158116568762 + 0.017123881690013013im
3.5 0.1159539723760532 + 0.011922087866336493im
3.6 0.11896924008661168 + 0.006706865875011325im
3.7 0.12006776541572342 + 0.0017080667487152086im
3.8 0.11939426180425428 - 0.002883490007913162im
3.9 0.11715210985694037 - 0.0069190013270292745im
4.0 0.11358719842663105 - 0.010292591809167726im
4.1 0.10897199979100039 - 0.012940347911461474im
4.2 0.10359051305610659 - 0.014837730720519984im
4.3 0.09772459955573558 - 0.01599566341790192im
4.4 0.09164211400158437 - 0.016455611990770124im
4.5 0.08558711200533203 - 0.016283983441219937im
4.6 0.07977229414207214 - 0.01556615661957385im
4.7 0.07437373385813313 - 0.014400439192950698im
4.8 0.06952783514809538 - 0.012892212747450902im
4.9 0.06533037890777722 - 0.011148489273058632im
5.0 0.061837446078204475 - 0.009273058892050406im
5.1 0.05906795206107953 - 0.0073623630837544515im
5.2 0.05700749050716 - 0.005502181991592534im
5.3 0.055613164844390314 - 0.003765180522296354im
5.4 0.05481908163373195 - 0.002209317375822129im
5.5 0.05454218938372307 - 0.0008770850516772211im
5.6 0.05468816786633336 + 0.00020448189001155768im
5.7 0.055157104098022464 + 0.0010231179318847328im
5.8 0.05584872971792952 + 0.0015800634415414525im
5.9 0.05666703822839968 + 0.0018883462052872208im
6.0 0.05752414723554403 + 0.00197073317859699im
6.1 0.0583433183259745 + 0.0018574788907776826im
6.2 0.05906109361229678 + 0.0015839926817476427im
6.3 0.059628551520155865 + 0.0011885381122844095im
6.4 0.0600117235621261 + 0.0007100652559689645im
6.5 0.06019124751136349 + 0.00018626082363267662im
6.6 0.060161359528451384 - 0.00034811686710177773im
6.7 0.059928347859069156 - 0.0008625703652371691im
6.8 0.05950860339003951 - 0.0013318350578230026im
6.9 0.058926407653520224 - 0.0017364820749934504im
7.0 0.058211597134061696 - 0.002063161755961584im
7.1 0.057397234576366044 - 0.002304513584658118im
7.2 0.056517404281594866 - 0.002458782267226649im
7.3 0.05560523019080163 - 0.0025291903963368546im
7.4 0.05469119409944596 - 0.0025231256055737563im
7.5 0.05380180791188287 - 0.0024512041075991876im
7.6 0.052958669728055 - 0.002326273050838681im
7.7 0.052177910028201116 - 0.002162411407315092im
7.8 0.05147001248140819 - 0.0019739834730520536im
7.9 0.05083997500713948 - 0.0017747910083456223im
8.0 0.050287761551509595 - 0.0015773601245200727im
8.1 0.04980898423956754 - 0.0013923878759675564im
8.2 0.049395749317921914 - 0.001228362027349791im
8.3 0.04903759825183423 - 0.001091356552144681im
8.4 0.04872247708283525 - 0.0009849953233571278im
8.5 0.048437672667598325 - 0.0009105674700622174im
8.6 0.04817066310192888 - 0.0008672707359420705im
8.7 0.0479098403645116 - 0.0008525537667568973im
8.8 0.04764507538316768 - 0.0008625258183157655im
8.9 0.04736810829568113 - 0.0008924045817884996im
